country,dates,genres,score,title,url,votes,critic_count,description,popularity
United Kingdom (Great Britain),2022..,"[""Drama"", ""Romance""]",8.7,Heartstopper,https://www.imdb.com/title/tt10638036/,55598,35,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,703
United States,2015..2022,"[""Comedy""]",8.2,Grace and Frankie,https://www.imdb.com/title/tt3609352/,53223,45,"Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together.",554
United States,2016..2021,"[""Drama""]",8.1,Goliath,https://www.imdb.com/title/tt4687880/,49979,31,"A disgraced lawyer, now an ambulance chaser, gets a case that could bring him redemption or at least revenge on the firm which expelled him.",599
United States,1975..,"[""Comedy"", ""Music""]",8.0,Saturday Night Live,https://www.imdb.com/title/tt0072562/,49751,13,A famous guest host stars in parodies and sketches created by the cast of this witty show.,295
"Korea, Republic of (South)",2019..,"[""Action"", ""Drama"", ""Horror""]",8.3,Kingdom,https://www.imdb.com/title/tt6611916/,47969,45,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",796
United States,2014..2020,"[""Crime"", ""Drama""]",8.1,Power,https://www.imdb.com/title/tt3281796/,47737,15,"James ""Ghost"" St. Patrick, a wealthy New York nightclub owner who has it all, catering to the city's elite and dreaming big, lives a double life as a drug kingpin.",559
United States,2019..,"[""Drama"", ""Sci"", ""Fi""]",8.0,For All Mankind,https://www.imdb.com/title/tt7772588/,45755,40,"In an alternative version of 1969, the Soviet Union beats the United States to the Moon, and the space race continues on for decades with still grander challenges and goals.",208
United Kingdom (Great Britain),2014..2023,"[""Crime"", ""Drama"", ""Thriller""]",8.5,Happy Valley,https://www.imdb.com/title/tt3428912/,45499,18,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,20
United Kingdom (Great Britain),2018..2022,"[""Comedy""]",8.5,Derry Girls,https://www.imdb.com/title/tt7120662/,45471,24,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.,253
Canada,2001..2018,"[""Comedy"", ""Crime""]",8.6,Trailer Park Boys,https://www.imdb.com/title/tt0290988/,45317,1,Three petty felons have a documentary made about their life in a trailer park.,580
United States,2018..,"[""Action"", ""Crime"", ""Drama""]",8.0,The Rookie,https://www.imdb.com/title/tt7587890/,42811,15,"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.",57
United States,2021..,"[""Comedy"", ""Drama"", ""Mystery""]",8.1,Resident Alien,https://www.imdb.com/title/tt8690918/,41637,15,A crash-landed alien takes on the identity of a small-town Colorado doctor and slowly begins to wrestle with the moral dilemma of his secret mission on Earth.,481
United States,2018..2023,"[""Drama""]",8.0,New Amsterdam,https://www.imdb.com/title/tt7817340/,41158,23,A new medical director breaks the rules to heal the system at America's oldest public hospital.,47
Italy,2014..2021,"[""Crime"", ""Drama"", ""Thriller""]",8.7,Gomorrah,https://www.imdb.com/title/tt2049116/,40722,23,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,798
United States,2016..2022,"[""Crime"", ""Drama""]",8.2,Animal Kingdom,https://www.imdb.com/title/tt5574490/,39853,21,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.",377
United States,2014..,"[""Action"", ""Crime"", ""Drama""]",8.1,Chicago P.D.,https://www.imdb.com/title/tt2805096/,39692,24,"Follows District 21 of the Chicago Police Department, made up of two different groups: the uniformed cops and the Intelligence Unit.",149
United States,2013..,"[""Comedy""]",8.0,The Goldbergs,https://www.imdb.com/title/tt2712740/,38200,15,"This ABC show takes place in Jenkintown, Pennsylvania in the 1980s and follows the lives of a family named The Goldbergs.",347
Brazil,2018..2019,"[""Crime"", ""Drama"", ""Thriller""]",8.0,The Mechanism,https://www.imdb.com/title/tt6873658/,36349,11,Dramatic fiction series loosely inspired by an investigation of corruption in Brazil's private and state oil companies and construction companies.,0
United Kingdom (Great Britain),1988..,"[""Comedy"", ""Sci"", ""Fi""]",8.4,Red Dwarf,https://www.imdb.com/title/tt0094535/,35590,48,"The adventures of the last human alive and his friends, stranded three million years into deep space on the mining ship Red Dwarf.",968
Sweden,2021..,"[""Drama"", ""Romance""]",8.3,Young Royals,https://www.imdb.com/title/tt14664414/,35024,23,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.",1160
United States,2020..,"[""Action"", ""Crime"", ""Drama""]",8.1,Gangs of London,https://www.imdb.com/title/tt7661390/,34922,27,Tells the story of London being torn apart by the turbulent power struggles of its international gangs and the sudden power vacuum that's created when the head of London's most powerful crime family is assassinated.,381
United States,2022..,"[""Crime"", ""Drama""]",8.2,Tulsa King,https://www.imdb.com/title/tt16358384/,34667,13,"Following his release from prison, Mafia capo Dwight ""The General"" Manfredi is exiled to Tulsa, Oklahoma, where he builds a new criminal empire with a group of unlikely characters.",15
United States,2019..,"[""Comedy"", ""Drama""]",8.1,The Righteous Gemstones,https://www.imdb.com/title/tt8634332/,33889,16,"Follows a world-famous televangelist family with a long tradition of deviance, greed, and charitable work.",429
United States,2022..,"[""Action"", ""Adventure"", ""Sci"", ""Fi""]",8.2,Star Trek: Strange New Worlds,https://www.imdb.com/title/tt12327578/,32925,17,"A prequel to Star Trek: The Original Series, the show will follow the crew of the USS Enterprise under Captain Christopher Pike.",239
United Kingdom (Great Britain),2015..2019,"[""Drama"", ""Romance""]",8.3,Poldark,https://www.imdb.com/title/tt3636060/,32738,37,"Ross Poldark returns home after American Revolutionary War and rebuilds his life with a new business venture, making new enemies and finding a new love where he least expects it.",597
United States,2009..2023,"[""Comedy"", ""Drama""]",8.2,Party Down,https://www.imdb.com/title/tt1073507/,32372,16,"A group of actors move to Los Angeles to make it big, but end up working as caterers.",336
United Kingdom (Great Britain),2003..,"[""Comedy"", ""Game"", ""Show""]",8.6,QI,https://www.imdb.com/title/tt0380136/,32253,31,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.",2194
United Kingdom (Great Britain),2010..2020,"[""Action"", ""Drama"", ""Thriller""]",8.1,Strike Back,https://www.imdb.com/title/tt1492179/,32156,34,"Follows the actions of Section 20, a secretive unit of British military intelligence. A team of special operations personnel conduct several high risk missions across the globe.",792
United States,2017..,"[""Drama"", ""History""]",9.3,The Chosen,https://www.imdb.com/title/tt9471404/,31943,13,A charismatic fisherman struggling with debt. A troubled woman wrestling with demons. A gifted accountant ostracised from his family and people. In this ground-breaking first season of The Chosen see how Jesus reaches each of these and more as He works His first miracles and emba... Read all,115
United States,2021..,"[""Comedy"", ""Drama""]",8.2,Hacks,https://www.imdb.com/title/tt11815682/,31735,26,"Explores a dark mentorship that forms between Deborah Vance, a legendary Las Vegas comedian, and an entitled, outcast 25-year-old.",457
Mexico,2016..2021,"[""Action"", ""Crime"", ""Drama""]",8.0,Queen of the South,https://www.imdb.com/title/tt1064899/,31164,9,Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.,697
"Korea, Republic of (South)",2019..2020,"[""Adventure"", ""Comedy"", ""Romance""]",8.7,Crash Landing on You,https://www.imdb.com/title/tt10850932/,30995,5,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,883
Turkey,2010..2019,"[""Crime"", ""Drama"", ""Mystery""]",8.9,Behzat Ç.: Bir Ankara Polisiyesi,https://www.imdb.com/title/tt1795096/,30652,1,"Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other crimes that happens on a weekly basis, the undertone of the story leads to an eventual due... Read all",1375
United States,2022..,"[""Crime"", ""Drama"", ""Thriller""]",8.0,Tokyo Vice,https://www.imdb.com/title/tt2887954/,30035,35,A Western journalist working for a publication in Tokyo takes on one of the city's most powerful crime bosses.,393
United States,2021..,"[""Crime"", ""Drama"", ""Thriller""]",8.2,Mayor of Kingstown,https://www.imdb.com/title/tt11712058/,29369,9,"The McLusky family are power brokers tackling themes of systemic racism, corruption and inequality in Kingstown, Michigan, where the business of incarceration is the only thriving industry.",23
United States,2017..2022,"[""Crime"", ""Drama""]",8.3,The Good Fight,https://www.imdb.com/title/tt5853176/,29319,21,"When Diane Lockhart's life savings are lost, she must start from scratch at a new firm.",408
"Iran, Islamic Republic of",2020..2021,"[""Crime"", ""Drama"", ""Mystery""]",8.2,The Frog,https://www.imdb.com/title/tt12920838/,28092,74,Ramin plans a robbery on his childhood classmate Noori who has become a mysterious rich man and that's just a beginning of a brutal journey.,0
United Kingdom (Great Britain),2012..,"[""Drama"", ""History""]",8.6,Call the Midwife,https://www.imdb.com/title/tt1983079/,27799,35,Chronicles the lives of a group of midwives living in East London in the late 1950s to late 1960s.,213
Turkey,2020..,"[""Drama"", ""Thriller""]",8.5,Ethos,https://www.imdb.com/title/tt11301642/,27755,11,"A group of unique characters from dramatically different socio-cultural backgrounds meeting in startling circumstances in the vibrant and colorful city of Istanbul, - some by chance and some by force of will.",3919
Denmark,2010..2022,"[""Drama""]",8.5,Borgen,https://www.imdb.com/title/tt1526318/,27445,44,"A political drama about a prime minister's rise to power, and how power changes a prime minister.",954
United Kingdom (Great Britain),2012..2023,"[""Crime"", ""Drama"", ""Mystery""]",8.6,Endeavour,https://www.imdb.com/title/tt2701582/,27277,20,"Set from 1965 to 1971, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.",352
United Kingdom (Great Britain),2011..,"[""Crime"", ""Drama"", ""Thriller""]",8.4,Top Boy,https://www.imdb.com/title/tt1830379/,26974,19,Two London drug dealers ply their lucrative trade at a public housing estate in East London.,484
Germany,2017..,"[""Crime"", ""Drama"", ""Thriller""]",8.4,Babylon Berlin,https://www.imdb.com/title/tt4378376/,25983,31,"Colognian commissioner Gereon Rath moves to Berlin, the epicenter of political and social changes in the Golden Twenties.",495
"Korea, Republic of (South)",2020..,"[""Comedy"", ""Drama"", ""Romance""]",8.6,It's Okay to Not Be Okay,https://www.imdb.com/title/tt12451520/,25778,6,An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,1134
United States,2022..,"[""Drama""]",8.0,The Gilded Age,https://www.imdb.com/title/tt4406178/,25172,22,"A wide-eyed young scion of a conservative family embarks on a mission to infiltrate the wealthy neighboring clan dominated by ruthless railroad tycoon George Russell, his rakish son, Larry, and his ambitious wife, Bertha.",447
Canada,2016..,"[""Comedy""]",8.7,Letterkenny,https://www.imdb.com/title/tt4647692/,24604,5,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",264
United Kingdom (Great Britain),2015..,"[""Crime"", ""Drama"", ""Mystery""]",8.3,Unforgotten,https://www.imdb.com/title/tt4192812/,23887,14,"London detectives investigate crimes from the past, unravelling secrets left buried for years.",635
Spain,2015..2019,"[""Action"", ""Adventure"", ""Drama""]",8.2,Vis a vis,https://www.imdb.com/title/tt4524056/,23190,15,She broke the law for the boss she fell in love with. Now this naive girl has to pay the price.,1507
Iceland,2015..,"[""Crime"", ""Drama"", ""Mystery""]",8.0,Trapped,https://www.imdb.com/title/tt3561180/,22788,31,"In a remote town in Iceland, police desperately try to solve a crime as a powerful storm descends upon the town.",1131
Australia,2013..2021,"[""Crime"", ""Drama"", ""Thriller""]",8.6,Wentworth,https://www.imdb.com/title/tt2433738/,22775,17,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,947
United Kingdom (Great Britain),2020..,"[""Drama""]",8.1,I May Destroy You,https://www.imdb.com/title/tt11204260/,22737,30,"The question of sexual consent in contemporary life and how, in the new landscape of dating and relationships, we make the distinction between liberation and exploitation.",1793
United Kingdom (Great Britain),2021..,"[""Crime"", ""Drama""]",8.2,Time,https://www.imdb.com/title/tt13138834/,21723,13,"Eric is a prison officer who tries to protect those in his charge. When one of the most dangerous inmates identifies his weakness, Eric faces an impossible choice between his principles and his love for his family.",1412
United Kingdom (Great Britain),2007..2019,"[""Comedy"", ""Romance""]",8.2,Gavin & Stacey,https://www.imdb.com/title/tt0908454/,21050,7,Gavin and Stacey have been continuing their romance on-line and by telephone for the last six months. Now they want to be together but will their friends and family let them?,1803
United Kingdom (Great Britain),2014..2018,"[""Comedy""]",8.0,Lovesick,https://www.imdb.com/title/tt4051832/,20945,13,"After finding out he has an STD, Dylan must get back in touch with every girl he has ever had sex with to let them know the bad news.",1559
United Kingdom (Great Britain),2015..2019,"[""Comedy""]",8.2,Catastrophe,https://www.imdb.com/title/tt4374208/,20392,18,American man Rob gets Irish woman Sharon pregnant when they hook up for a week while he is on a business trip in London.,1182
United States,2021..,"[""Comedy""]",8.2,Abbott Elementary,https://www.imdb.com/title/tt14218830/,20342,10,"Follows a group of teachers brought together in one of the worst public schools in the country, simply because they love teaching.",76
"Korea, Republic of (South)",2021..,"[""Action"", ""Comedy"", ""Crime""]",8.4,Vincenzo,https://www.imdb.com/title/tt13433812/,20056,7,"During a visit to his motherland, a Korean-Italian mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice.",805
United States,2022..,"[""Comedy"", ""Drama"", ""Thriller""]",8.3,Bad Sisters,https://www.imdb.com/title/tt15469618/,19867,23,"Follows the Garvey sisters, who are bound together by the death of their parents and a promise to always protect each other.",157
United Kingdom (Great Britain),2013..,"[""Crime"", ""Drama"", ""Mystery""]",8.2,Shetland,https://www.imdb.com/title/tt2396135/,19724,17,DI Jimmy Perez and his team investigate crimes within the close knit island community of Shetland.,473
Canada,2016..2021,"[""Comedy""]",8.2,Kim's Convenience,https://www.imdb.com/title/tt5912064/,19688,5,The misadventures of a Korean-Canadian family running a convenience store.,1168
Australia,2018..2021,"[""Crime"", ""Drama""]",8.6,Mr Inbetween,https://www.imdb.com/title/tt7472896/,19461,7,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.",750
Sweden,2020..,"[""Crime"", ""Drama"", ""Thriller""]",8.2,Caliphate,https://www.imdb.com/title/tt11398870/,19410,7,"Agent Fatima gets a tip that a terrorist act is planned in Sweden. At the same time, teenager Sulle has opened her eyes to her student assistant who opens the doors to a fascinating new world.",1655
United Kingdom (Great Britain),2011..2020,"[""Comedy""]",8.1,Friday Night Dinner,https://www.imdb.com/title/tt1844923/,19342,4,"Two siblings share their Friday-night dinners at their parents' home and, somehow, something always goes wrong.",1669
Norway,1994..2022,"[""Comedy"", ""Drama"", ""Fantasy""]",8.2,The Kingdom,https://www.imdb.com/title/tt0108906/,19217,47,"Doctors at an ultramodern hospital in Denmark become convinced, by way of weird, inexplicable happenings, that the place is haunted.",724
United States,2017..2023,"[""Crime"", ""Drama""]",8.2,Snowfall,https://www.imdb.com/title/tt6439752/,19197,9,A look at the early days of the crack cocaine epidemic in Los Angeles during the beginning of the 1980s.,422
United States,2022..,"[""Crime"", ""Drama""]",8.5,Bosch: Legacy,https://www.imdb.com/title/tt14168162/,18977,9,"Bosch embarks on the next chapter of his career and finds himself working with his one-time enemy, Honey Chandler.",561
United States,2021..,"[""Crime"", ""Mystery"", ""Thriller""]",8.3,Leverage: Redemption,https://www.imdb.com/title/tt12197698/,18817,7,"The Hitter, the Hacker, the Grifter and the Thief are back, this time with help from a new tech genius and corporate fixer, to take on a new kind of villain. When someone needs help, they provide...Leverage.",267
United Kingdom (Great Britain),2019..,"[""Comedy"", ""Fantasy""]",8.3,Ghosts,https://www.imdb.com/title/tt8594324/,18394,16,"A group of spirits restlessly squabbles in an abandoned country house. To their despair, a young couple inherits the house with hopeful plans to renovate it into a luxury hotel.",345
United Kingdom (Great Britain),2014..,"[""Comedy"", ""Crime"", ""Drama""]",8.5,Inside No. 9,https://www.imdb.com/title/tt2674806/,17553,22,"Genre-mixing anthology series, inviting viewers into some very different and enigmatic No. 9s.",822
United Kingdom (Great Britain),2004..2022,"[""Comedy"", ""Drama"", ""Romance""]",8.4,Doc Martin,https://www.imdb.com/title/tt0408381/,17538,28,"The trials and tribulations of Martin Ellingham, a brilliant but socially challenged doctor who moves from London to the picturesque village of Port Wenn in Cornwall.",367
Canada,2007..,"[""Drama"", ""Family""]",8.5,Heartland,https://www.imdb.com/title/tt1094229/,17439,6,"A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.",309
"Korea, Republic of (South)",2016..,"[""Action"", ""Comedy"", ""Drama""]",8.3,Descendants of the Sun,https://www.imdb.com/title/tt4925000/,17325,134,This drama tells of the love story that develops between a surgeon and a special forces officer.,1480
United States,2021..,"[""Comedy"", ""Crime""]",8.1,Reservation Dogs,https://www.imdb.com/title/tt13623580/,16938,20,Comedy series about four Native American teenagers growing up on a reservation in eastern Oklahoma.,474
United Kingdom (Great Britain),2014..2022,"[""Comedy""]",8.6,Detectorists,https://www.imdb.com/title/tt4082744/,16505,9,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",378
"Korea, Republic of (South)",2022..,"[""Drama""]",8.7,Extraordinary Attorney Woo,https://www.imdb.com/title/tt20869502/,16035,13,"About an autistic 27-year-old lawyer. Due to her high IQ of 164, impressive memory, and creative thought process, the brilliant Woo Young Woo graduated at the top of her class from a prestigious law school.",432
United Kingdom (Great Britain),2011..,"[""Crime"", ""Drama"", ""Mystery""]",8.1,Vera,https://www.imdb.com/title/tt1693592/,15744,6,"With her caustic wit and singular charm, DCI Vera Stanhope leads her team as they face a series of captivating murder mysteries set against the breathtaking Northumberland landscape.",158
Italy,2018..,"[""Drama""]",8.6,My Brilliant Friend,https://www.imdb.com/title/tt7278862/,15722,30,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,991
Turkey,2021..,"[""Comedy""]",9.0,As If,https://www.imdb.com/title/tt13675832/,15653,5,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,961
United States,2019..,"[""Crime"", ""Drama""]",8.1,Godfather of Harlem,https://www.imdb.com/title/tt8080122/,15369,2,"A gangster named Bumpy Johnson makes his way in Harlem during the 1960s. A TV prequel to the 2007 film, 'American Gangster', which centered on the criminal enterprise of Frank Lucas.",150
France,2015..2020,"[""Comedy"", ""Drama""]",8.3,Call My Agent!,https://www.imdb.com/title/tt4277922/,15170,24,French serial about the lives and jobs of people working at a talent agency.,1346
Canada,2008..,"[""Crime"", ""Drama"", ""Mystery""]",8.2,Murdoch Mysteries,https://www.imdb.com/title/tt1091909/,15024,22,"In the 1890s, William Murdoch uses radical forensic techniques for the time, including fingerprinting and trace evidence, to solve some of the city's most gruesome murders.",312
"Korea, Republic of (South)",2020..,"[""Drama"", ""Romance""]",8.2,Itaewon Class,https://www.imdb.com/title/tt11239552/,14848,3,"An ex-con opens a street bar in Itaewon, while also seeking revenge on the family who was responsible for his father's death.",1842
United Kingdom (Great Britain),1994..2020,"[""Comedy""]",8.0,The Vicar of Dibley,https://www.imdb.com/title/tt0108981/,14368,8,A boisterous female minister comes to serve in an eccentricly conservative small town's church.,1850
United Kingdom (Great Britain),2022..2024,"[""Action"", ""Drama"", ""Thriller""]",8.1,SAS Rogue Heroes,https://www.imdb.com/title/tt10405370/,14342,12,SAS: Rogue Heroes charts the creation of the famed Special Forces unit. Based on the book by Ben Macintyre.,240
United Kingdom (Great Britain),2015..,"[""Comedy"", ""Game"", ""Show""]",9.0,Taskmaster,https://www.imdb.com/title/tt4934214/,14039,1,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.",631
"Korea, Republic of (South)",2021..,"[""Comedy"", ""Romance""]",8.4,Hometown Cha-Cha-Cha,https://www.imdb.com/title/tt14518756/,13845,8,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.",1578
United Kingdom (Great Britain),2022..,"[""Comedy"", ""Drama""]",8.4,This Is Going to Hurt,https://www.imdb.com/title/tt8681148/,13579,13,"Set on Labor Ward with all its hilarity and heart-lifting highs but also its gut-wrenching lows, the show delivers a brutally honest depiction of life as a junior doctor on the wards, and the toll the job can take back home.",1166
"Korea, Republic of (South)",2018..,"[""Comedy"", ""Mystery"", ""Romance""]",8.1,What's Wrong with Secretary Kim,https://www.imdb.com/title/tt8242904/,13466,1,A romance between perfect but narcissistic second generation heir and his capable assistant.,2275
"Korea, Republic of (South)",2017..,"[""Comedy"", ""Crime"", ""Drama""]",8.2,Strong Girl Bong-soon,https://www.imdb.com/title/tt6263222/,13447,1,"Do Bong-soon is a woman born with superhuman strength that comes from the long line of women possessing it. when Ahn Min Hyuk, the CEO of ainsoft, a gaming company witnesses her strength he hires her as his personal bodyguard.",2529
"Korea, Republic of (South)",2022..,"[""Comedy"", ""Drama"", ""Romance""]",8.1,The Office Blind Date,https://www.imdb.com/title/tt14819828/,13165,4,"In disguise as her friend, Ha-ri shows up to a blind date to scare him away. But plans go awry when he turns out to be her CEO - and makes a proposal.",1392
Canada,2004..,"[""Comedy"", ""Drama"", ""Fantasy""]",8.3,Wonderfalls,https://www.imdb.com/title/tt0361256/,12799,19,24-year-old loner B.A. Jaye lives in a trailer park and sells souvenirs in Niagara Falls. Animal figurines and dolls speak to her and force her to interact with people and try to help them.,0
United States,2022..2023,"[""Drama"", ""Western""]",8.6,1923,https://www.imdb.com/title/tt18335752/,12721,5,"The Duttons face a new set of challenges in the early 20th century, including the rise of Western expansion, Prohibition and the Great Depression.",16
United Kingdom (Great Britain),2020..,"[""Comedy"", ""Drama""]",8.6,All Creatures Great and Small,https://www.imdb.com/title/tt10590066/,12622,12,The numerous adventures of a friendly staff at a country veterinarian practice in 1930s to 1940s Yorkshire.,210
"Korea, Republic of (South)",2020..,"[""Fantasy"", ""Mystery"", ""Romance""]",8.1,The King: Eternal Monarch,https://www.imdb.com/title/tt11228748/,12466,5,"A modern-day Korean emperor passes through a mysterious portal and into a parallel world, where he encounters a feisty police detective.",2087
France,2015..,"[""Drama"", ""Thriller""]",8.7,The Bureau,https://www.imdb.com/title/tt4063800/,12209,21,"The Bureau is based upon real accounts by former spies and inspired by contemporary events, and centers on the daily life and missions of agents within France's Directorate-General for External Security, its principal external security service. It focuses on the ""Bureau of Legend... Read all",1306
"Korea, Republic of (South)",2016..,"[""Action"", ""Comedy"", ""Drama""]",8.0,W,https://www.imdb.com/title/tt5797194/,11349,4,A love story between a couple in their early thirties. They belong to the same era but alternate realities.,3254
"Korea, Republic of (South)",2020..,"[""Comedy"", ""Drama"", ""Romance""]",8.0,Start-Up,https://www.imdb.com/title/tt12867810/,11311,4,Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea's high-tech industry.,2351
United States,2015..,"[""Adventure"", ""Fantasy""]",9.2,Critical Role,https://www.imdb.com/title/tt4834232/,11050,114,"A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.",675
Canada,1988..2021,"[""Comedy""]",8.4,The Kids in the Hall,https://www.imdb.com/title/tt0096626/,10652,13,"The TV series of the Canadian sketch comedy troupe that, more often than not, puts bizarre, unique, and insane twists in their skits.",2545
"Korea, Republic of (South)",2021..,"[""Crime"", ""Drama"", ""Romance""]",8.2,Snowdrop,https://www.imdb.com/title/tt13304700/,10473,1,"Adapted from the handwritten notes of a man who escaped from a political prison camp in North Korea, ""Snowdrop"" is set against the backdrop of the 1987 Democracy Movement in South Korea.",2127
"Iran, Islamic Republic of",2015..2018,"[""Drama"", ""History"", ""Romance""]",8.0,Shahrzad,https://www.imdb.com/title/tt5332732/,10255,34,"In Iran, Tehran, 1953, Shahrzad and Farhad love each other and intend to get married, but the great mafia Bozorg Agha has decided another fate for them.",0
Norway,2019..,"[""Crime"", ""Drama"", ""Thriller""]",8.2,Exit,https://www.imdb.com/title/tt9612102/,10209,2,A dark drama series based on true stories from Norway's financial scene.,1550
"Korea, Republic of (South)",2019..,"[""Action"", ""Comedy"", ""Drama""]",8.2,Hotel Del Luna,https://www.imdb.com/title/tt10220588/,10045,2,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.",2192
United Kingdom (Great Britain),2019..,"[""Comedy"", ""Drama""]",8.4,Brassic,https://www.imdb.com/title/tt9174582/,10039,3,"Comedy series about Vinnie and Dylan, who have grown up together and are inseparable. When Dylan's girlfriend wants to move in search of a better life for her and her son, he must face the hardest decision of his life.",1144
